fecha_divorcio,sexo_1,sexo_2,fecha_matrimonio,tiempo_transcurrido,anios_matrimonio,anio_divorcio,anio_matrimonio,mes_divorcio,tipo_pareja
2018-01-11,Masculino,Femenino,2012-03-08,2135 days,5.8,2018,2012.0,1,dif sexo
2018-01-11,Masculino,Femenino,2002-04-19,5746 days,15.7,2018,2002.0,1,dif sexo
2018-01-11,Masculino,Femenino,2002-05-30,5705 days,15.6,2018,2002.0,1,dif sexo
2018-01-11,Masculino,Femenino,2003-06-25,5314 days,14.5,2018,2003.0,1,dif sexo
2018-01-11,No declara,No declara,1986-06-05,11543 days,31.6,2018,1986.0,1,desconocido
2018-01-11,Masculino,Femenino,2003-05-14,5356 days,14.7,2018,2003.0,1,dif sexo
2018-01-12,Masculino,Femenino,1976-12-16,15002 days,41.1,2018,1976.0,1,dif sexo
2018-01-12,Masculino,Femenino,2001-05-03,6098 days,16.7,2018,2001.0,1,dif sexo
2018-01-12,Masculino,Femenino,1995-10-19,8121 days,22.2,2018,1995.0,1,dif sexo
2018-01-12,Masculino,Femenino,2011-02-18,2520 days,6.9,2018,2011.0,1,dif sexo
2018-01-12,Masculino,Femenino,2001-12-13,5874 days,16.1,2018,2001.0,1,dif sexo
2018-01-12,Masculino,Femenino,2002-02-15,5810 days,15.9,2018,2002.0,1,dif sexo
2018-01-12,No declara,No declara,1990-08-16,10011 days,27.4,2018,1990.0,1,desconocido
2018-01-15,Masculino,Femenino,2010-04-09,2838 days,7.8,2018,2010.0,1,dif sexo
2018-01-15,Masculino,Femenino,2003-08-22,5260 days,14.4,2018,2003.0,1,dif sexo
2018-01-15,No declara,No declara,1992-12-04,9173 days,25.1,2018,1992.0,1,desconocido
2018-01-15,No declara,No declara,1986-04-02,11611 days,31.8,2018,1986.0,1,desconocido
2018-01-15,Masculino,Femenino,1976-08-26,15117 days,41.4,2018,1976.0,1,dif sexo
2018-01-15,Masculino,Femenino,2001-08-31,5981 days,16.4,2018,2001.0,1,dif sexo
2018-01-15,No declara,No declara,1996-02-19,8001 days,21.9,2018,1996.0,1,desconocido
2018-01-16,Masculino,Femenino,1999-11-01,6651 days,18.2,2018,1999.0,1,dif sexo
2018-01-16,No declara,No declara,1984-03-02,12373 days,33.9,2018,1984.0,1,desconocido
2018-01-16,Masculino,Femenino,2010-03-05,2874 days,7.9,2018,2010.0,1,dif sexo
2018-01-16,Masculino,No declara,1994-12-02,8446 days,23.1,2018,1994.0,1,desconocido
2018-01-16,Masculino,Femenino,1981-03-26,13445 days,36.8,2018,1981.0,1,dif sexo
2018-01-17,Masculino,Femenino,2008-02-14,3625 days,9.9,2018,2008.0,1,dif sexo
2018-01-18,Masculino,Femenino,1990-11-01,9940 days,27.2,2018,1990.0,1,dif sexo
2018-01-18,No declara,No declara,1990-04-20,10135 days,27.7,2018,1990.0,1,desconocido
2018-01-18,Masculino,Femenino,2002-02-27,5804 days,15.9,2018,2002.0,1,dif sexo
2018-01-18,Masculino,Femenino,2009-11-17,2984 days,8.2,2018,2009.0,1,dif sexo
2018-01-18,Masculino,Femenino,1978-07-28,14419 days,39.5,2018,1978.0,1,dif sexo
2018-01-18,Masculino,Femenino,2006-03-10,4332 days,11.9,2018,2006.0,1,dif sexo
2018-01-18,Masculino,Femenino,2009-10-05,3027 days,8.3,2018,2009.0,1,dif sexo
2018-01-19,No declara,No declara,1989-08-31,10368 days,28.4,2018,1989.0,1,desconocido
2018-01-19,Masculino,Femenino,2006-01-11,4391 days,12.0,2018,2006.0,1,dif sexo
2018-01-19,Masculino,Femenino,2007-09-28,3766 days,10.3,2018,2007.0,1,dif sexo
2018-01-19,Masculino,Femenino,2002-03-14,5790 days,15.9,2018,2002.0,1,dif sexo
2018-01-19,Masculino,Femenino,1969-05-29,17767 days,48.6,2018,1969.0,1,dif sexo
2018-01-19,Masculino,Femenino,2004-11-16,4812 days,13.2,2018,2004.0,1,dif sexo
2018-01-22,No declara,No declara,1984-11-15,12121 days,33.2,2018,1984.0,1,desconocido
2018-01-22,Masculino,Femenino,2006-09-13,4149 days,11.4,2018,2006.0,1,dif sexo
2018-01-22,Masculino,Femenino,2012-06-15,2047 days,5.6,2018,2012.0,1,dif sexo
2018-01-22,No declara,No declara,1987-04-30,11225 days,30.7,2018,1987.0,1,desconocido
2018-01-22,No declara,Femenino,1993-12-29,8790 days,24.1,2018,1993.0,1,desconocido
2018-01-22,Masculino,Femenino,2004-12-24,4777 days,13.1,2018,2004.0,1,dif sexo
2018-01-22,No declara,No declara,1988-07-14,10784 days,29.5,2018,1988.0,1,desconocido
2018-01-23,Masculino,Femenino,1981-11-18,13215 days,36.2,2018,1981.0,1,dif sexo
2018-01-23,Masculino,Femenino,2015-03-27,1033 days,2.8,2018,2015.0,1,dif sexo
2018-01-23,Masculino,Femenino,2013-09-13,1593 days,4.4,2018,2013.0,1,dif sexo
2018-01-23,No declara,No declara,1985-02-11,12034 days,32.9,2018,1985.0,1,desconocido
2018-01-23,Masculino,Femenino,1982-01-15,13157 days,36.0,2018,1982.0,1,dif sexo
2018-01-23,Masculino,Femenino,2000-02-10,6557 days,18.0,2018,2000.0,1,dif sexo
2018-01-23,Masculino,Femenino,1969-12-09,17577 days,48.1,2018,1969.0,1,dif sexo
2018-01-24,Masculino,Femenino,2001-03-07,6167 days,16.9,2018,2001.0,1,dif sexo
2018-01-24,Masculino,Femenino,1999-09-02,6719 days,18.4,2018,1999.0,1,dif sexo
2018-01-24,Masculino,No declara,1987-09-18,11086 days,30.4,2018,1987.0,1,desconocido
2018-01-24,Masculino,Femenino,2009-03-23,3229 days,8.8,2018,2009.0,1,dif sexo
2018-01-25,Masculino,Femenino,2007-01-05,4038 days,11.1,2018,2007.0,1,dif sexo
2018-01-25,No declara,No declara,1993-06-03,9002 days,24.6,2018,1993.0,1,desconocido
2018-01-25,Masculino,Femenino,2012-11-01,1911 days,5.2,2018,2012.0,1,dif sexo
2018-01-25,Femenino,Femenino,2011-11-21,2257 days,6.2,2018,2011.0,1,mismo sexo
2018-01-26,No declara,No declara,1988-02-16,10937 days,29.9,2018,1988.0,1,desconocido
2018-01-26,No declara,No declara,1984-04-12,12342 days,33.8,2018,1984.0,1,desconocido
2018-01-26,Masculino,Femenino,1976-09-27,15096 days,41.3,2018,1976.0,1,dif sexo
2018-01-26,Masculino,Femenino,1991-03-07,9822 days,26.9,2018,1991.0,1,dif sexo
2018-01-29,Masculino,Femenino,1982-12-06,12838 days,35.1,2018,1982.0,1,dif sexo
2018-01-29,Masculino,Femenino,1991-12-17,9540 days,26.1,2018,1991.0,1,dif sexo
2018-01-29,Masculino,Femenino,1984-11-14,12129 days,33.2,2018,1984.0,1,dif sexo
2018-01-29,Masculino,Femenino,1992-07-08,9336 days,25.6,2018,1992.0,1,dif sexo
2018-01-29,Masculino,Femenino,2014-12-05,1151 days,3.2,2018,2014.0,1,dif sexo
2018-01-30,Masculino,Femenino,2013-04-04,1762 days,4.8,2018,2013.0,1,dif sexo
2018-01-30,No declara,No declara,1992-11-26,9196 days,25.2,2018,1992.0,1,desconocido
2018-01-30,Masculino,Femenino,2007-02-23,3994 days,10.9,2018,2007.0,1,dif sexo
2018-01-30,No declara,Femenino,1994-03-18,8719 days,23.9,2018,1994.0,1,desconocido
2018-01-31,Masculino,Femenino,1999-05-07,6844 days,18.7,2018,1999.0,1,dif sexo
2018-01-31,No declara,No declara,1990-02-09,10218 days,28.0,2018,1990.0,1,desconocido
2018-01-31,Masculino,Femenino,1999-11-11,6656 days,18.2,2018,1999.0,1,dif sexo
2018-01-31,No declara,No declara,1993-07-02,8979 days,24.6,2018,1993.0,1,desconocido
2018-01-31,Masculino,Femenino,2006-09-22,4149 days,11.4,2018,2006.0,1,dif sexo
2018-01-31,Femenino,Masculino,2012-08-17,1993 days,5.5,2018,2012.0,1,dif sexo
2018-01-31,Masculino,Femenino,2005-11-25,4450 days,12.2,2018,2005.0,1,dif sexo
