fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-12-15",1986-10-23",NO DECLARA",NO DECLARA"
2020-03-11",1998-03-13",M",F"
2020-01-08",1986-01-03",NO DECLARA",NO DECLARA"
2020-11-11",1986-08-08",NO DECLARA",NO DECLARA"
2020-03-19",1987-05-14",NO DECLARA",NO DECLARA"
2020-11-12",1992-09-10",M",F"
2020-10-07",1991-07-03",NO DECLARA",NO DECLARA"
2020-03-10",1992-06-11",NO DECLARA",F"
2020-02-17",1990-11-08",M",F"
2020-01-07",1992-01-13",NO DECLARA",NO DECLARA"
2020-03-11",1992-11-20",NO DECLARA",NO DECLARA"
2020-11-26",1990-12-14",M",F"
2020-08-06",1991-10-09",M",F"
2020-02-19",1991-10-14",NO DECLARA",NO DECLARA"
2020-08-03",1991-04-25",M",NO DECLARA"
2020-12-22",1991-05-14",M",F"
2020-12-09",1992-04-20",NO DECLARA",NO DECLARA"
2020-02-19",1991-06-27",NO DECLARA",NO DECLARA"
2020-09-04",1992-06-19",NO DECLARA",DESCONOCIDO"
2020-11-26",1991-08-14",M",NO DECLARA"
2020-10-28",1991-08-21",M",F"
2020-01-06",1991-09-19",NO DECLARA",NO DECLARA"
2020-01-08",1992-08-21",M",NO DECLARA"
2020-12-29",1991-11-15",NO DECLARA",NO DECLARA"
2020-12-21",1992-03-19",NO DECLARA",NO DECLARA"
2020-12-22",1991-05-13",NO DECLARA",F"
2020-10-02",1990-07-27",NO DECLARA",NO DECLARA"
2020-07-25",1989-12-13",NO DECLARA",F"
2020-12-07",1990-08-02",NO DECLARA",F"
2020-12-14",1990-08-02",NO DECLARA",F"
2020-11-20",1989-04-21",NO DECLARA",NO DECLARA"
2020-10-10",1989-12-19",M",F"
2020-01-02",1989-05-26",NO DECLARA",NO DECLARA"
2020-01-06",1989-07-19",M",F"
2020-08-31",1990-04-20",M",F"
2020-03-09",1990-02-02",M",NO DECLARA"
2020-12-01",1989-01-13",M",F"
2020-03-05",1989-01-19",M",F"
2020-10-01",1990-03-02",M",F"
2020-07-30",1990-07-13",NO DECLARA",NO DECLARA"
2020-01-02",1988-11-25",NO DECLARA",NO DECLARA"
2020-12-14",1989-04-21",NO DECLARA",NO DECLARA"
2020-11-26",1989-11-08",NO DECLARA",NO DECLARA"
2020-10-20",1990-02-09",NO DECLARA",NO DECLARA"
2020-03-09",1989-01-16",NO DECLARA",NO DECLARA"
2020-11-19",1990-03-27",NO DECLARA",NO DECLARA"
2020-11-25",1990-04-27",NO DECLARA",NO DECLARA"
2020-01-07",1990-04-27",NO DECLARA",F"
2020-01-10",1989-06-02",NO DECLARA",NO DECLARA"
2020-01-09",1990-03-01",M",F"
2020-12-23",1989-12-06",NO DECLARA",NO DECLARA"
2020-12-09",1990-04-27",NO DECLARA",F"
2020-03-09",1989-03-03",NO DECLARA",NO DECLARA"
2020-03-13",1989-06-23",NO DECLARA",NO DECLARA"
2020-01-23",1989-12-15",NO DECLARA",NO DECLARA"
2020-02-27",1989-12-15",NO DECLARA",NO DECLARA"
2020-09-11",1990-05-10",NO DECLARA",NO DECLARA"
2020-12-30",1983-03-09",NO DECLARA",NO DECLARA"
2020-11-27",1983-03-02",NO DECLARA",NO DECLARA"
2020-08-31",1983-03-11",NO DECLARA",F"
2020-01-06",1983-01-13",NO DECLARA",F"
2020-02-27",1983-06-16",NO DECLARA",NO DECLARA"
2020-02-21",1983-06-16",NO DECLARA",NO DECLARA"
2020-12-10",1983-03-18",NO DECLARA",F"
2020-01-07",1983-03-18",M",NO DECLARA"
2020-11-09",1983-01-18",M",NO DECLARA"
2020-12-09",1994-11-24",M",F"
2020-01-31",1994-03-23",M",F"
2020-12-14",1993-12-14",NO DECLARA",F"
2020-10-10",1994-12-21",NO DECLARA",NO DECLARA"
2020-10-10",1994-12-21",NO DECLARA",NO DECLARA"
2020-03-04",1992-12-11",NO DECLARA",NO DECLARA"
2020-01-08",1992-12-11",NO DECLARA",NO DECLARA"
2020-08-27",1994-03-10",M",NO DECLARA"
2020-12-16",1995-07-12",M",F"
2020-01-07",1995-11-02",M",F"
2020-09-03",1995-11-02",M",F"
2020-11-24",1983-03-25",NO DECLARA",NO DECLARA"
